generation_number,offsprings_per_generation,male_offsprings_per_generation,female_offsprings_per_generation,duration
243,25,11,14,14716450921
244,19,11,8,14777059745
245,20,10,10,20818552084
246,17,7,10,14812227555
247,21,12,9,14823232915
248,15,7,8,14713692081
249,15,6,9,14889344025
250,25,13,12,14929649380
251,20,9,11,31179901323
252,23,12,11,15034729254
253,24,12,12,19450037520
254,22,9,13,20100056014
255,16,7,9,15010158643
256,11,4,7,15029944212
257,12,4,8,23110624396
258,12,4,8,15351211912
259,18,12,6,14980317064
260,12,5,7,14931957821
261,14,4,10,14992591119
262,20,10,10,14983829068
263,13,8,5,14920065480
264,17,7,10,14965728251
265,21,8,13,14943225684
266,25,16,9,14843916913
267,15,7,8,15938524326
268,23,12,11,14711061137
269,13,7,6,14747074481
270,13,9,4,14713664844
271,25,11,14,21614495417
272,22,10,12,16892449052
273,14,10,4,15055136538
274,9,6,3,14790242888
275,12,8,4,23105917908
276,10,5,5,14970019473
277,9,4,5,15029631577
278,11,3,8,14969291177
279,7,4,3,14965958384
280,15,6,9,16939276307
281,12,3,9,20977319010
282,22,10,12,14879813414
283,8,5,3,14924752231
284,26,12,14,14907880636
285,12,5,7,14916640318
286,13,7,6,14933858496
287,19,9,10,14984143282
288,18,9,9,21061254619
289,23,14,9,14987813182
290,17,7,10,14936345360
291,17,8,9,14967026946
292,15,10,5,14876930231
293,21,13,8,24152556082
294,21,13,8,18769948893
295,14,7,7,14999594996
296,11,3,8,14932313088
297,14,8,6,17447490261
298,12,4,8,15734036208
299,13,4,9,14952960769
300,9,3,6,31198075168
301,13,5,8,15046990283
302,9,8,1,14955491844
303,14,5,9,14947055454
304,18,12,6,24594797086
305,23,10,13,14914851750
306,25,16,9,20100942995
307,22,7,15,14935738644
308,16,7,9,14947520458
309,7,2,5,14944127271
310,13,8,5,16698140497
311,2,0,2,14952338659
312,5,3,2,14914786617
313,6,6,0,14936620888
314,15,6,9,14859754685
315,14,9,5,15003797796
316,15,8,7,15014636181
317,27,10,17,14919222314
318,31,18,13,20989906095
319,14,8,6,15079103198
320,18,9,9,14904535211
321,14,9,5,16683570236
322,13,9,4,16822645147
323,14,5,9,14998874201
324,14,8,6,15036547822
325,15,9,6,15001821332
326,23,11,12,14985639742
327,20,11,9,14855413725
328,14,5,9,14967272869
329,26,12,14,14873071249
330,23,10,13,14882689887
331,17,9,8,14931086629
332,5,1,4,14973028183
333,10,6,4,15820909474
334,15,8,7,15078522535
335,16,8,8,14991050842
336,19,9,10,14862090363
337,16,7,9,14984078544
338,23,9,14,14931185709
339,16,7,9,14962749934
340,11,7,4,14946791768
341,8,5,3,20672421981
342,9,4,5,15022772569
343,8,3,5,14965259299
344,15,7,8,14954909997
345,11,5,6,14978377310
346,17,7,10,16361178316
347,12,5,7,14968956042
348,11,5,6,14959011744
349,18,8,10,14904913372
350,17,8,9,14922652213
351,16,8,8,14998823279
352,10,4,6,21583520539
353,18,7,11,20885690703
354,22,11,11,29181929103
355,14,5,9,16657282900
356,10,2,8,20986107904
357,15,9,6,17241820685
358,26,11,15,14868763843
359,16,9,7,14962016902
360,18,9,9,14880597763
361,18,12,6,14821036975
362,7,5,2,30366613890
363,12,5,7,22999363284
364,15,7,8,14882268304
365,9,3,6,16699637747
366,16,10,6,18330460413
367,19,14,5,20132530116
368,13,3,10,14889714290
369,23,10,13,14917569536
370,25,11,14,14897208041
371,14,8,6,17563862866
372,11,3,8,14990682944
373,9,3,6,15188586400
374,20,8,12,14874406261
375,14,8,6,14795955964
376,11,7,4,17562254694
377,15,8,7,20754331387
378,23,8,15,15813776121
379,15,7,8,20766841102
380,15,4,11,14810654909
381,10,5,5,14787191940
382,21,9,12,14892359051
383,20,8,12,14824705297
384,13,5,8,14805329863
385,23,9,14,14846766149
386,19,8,11,20949017709
387,24,11,13,14947013611
388,35,16,19,14936961549
389,26,11,15,14952318922
390,26,11,15,14952936296
391,24,15,9,14961995586
392,19,10,9,15044448549
393,21,11,10,15420703972
394,24,9,15,21067947441
395,18,12,6,14922106287
396,18,6,12,14941540932
397,17,9,8,16000169344
398,19,5,14,21031983045
399,22,12,10,14795092273
400,16,9,7,14839707403
401,13,7,6,15932702696
402,20,11,9,17861907203
403,18,9,9,14951612336
404,12,8,4,15068668237
405,28,15,13,14965836804
406,17,10,7,14908146691
407,32,13,19,19368488512
408,19,9,10,14868812001
409,7,6,1,14963342440
410,6,1,5,15017875816
411,15,9,6,14947420589
412,13,7,6,25060597376
413,26,14,12,14816803385
414,19,6,13,20852577911
415,13,5,8,14849610647
416,12,7,5,14823519102
417,12,7,5,15027314846
418,16,6,10,15130418255
419,16,6,10,14812332951
420,17,11,6,14819510909
421,16,5,11,20867371594
422,13,4,9,14800583110
423,14,9,5,14801656409
424,14,5,9,14830027581
425,21,12,9,20974555829
426,17,11,6,14883532658
427,15,5,10,16198656620
428,12,4,8,19499760985
429,8,2,6,14825981887
430,11,4,7,16222882623
431,15,11,4,15099695221
432,10,7,3,14855618990
433,10,5,5,14913162655
434,12,5,7,14746837242
435,15,5,10,15021510979
436,19,10,9,14937934190
437,17,10,7,16809447793
438,12,5,7,14859937844
439,16,9,7,14894514334
440,7,3,4,14861162723
441,16,7,9,14847908922
442,20,11,9,16939841575
443,17,6,11,23133488940
444,15,7,8,15080227418
445,17,10,7,15060741851
446,11,3,8,15004598330
447,15,3,12,17568041587
448,18,12,6,14774746172
449,13,5,8,14801490618
450,13,6,7,14871815581
451,10,8,2,14865303550
452,6,5,1,14884693983
453,7,3,4,14872985196
454,11,4,7,14803038001
455,16,9,7,21908500772
456,10,3,7,14937157341
457,19,12,7,14945277544
458,14,8,6,28569046595
459,23,15,8,14889923108
460,15,6,9,24898530816
461,20,8,12,15045060397
462,17,6,11,14950212193
463,24,10,14,14873911651
464,13,9,4,14872160584
465,12,8,4,15048372663
466,17,11,6,25044996449
467,18,8,10,14820543944
468,24,14,10,14875273505
469,14,7,7,14829468628
470,17,9,8,14860453770
471,21,13,8,14865433813
472,17,10,7,14940935401
473,18,11,7,14892143522
474,18,6,12,15083598895
475,13,8,5,15016558961
476,13,9,4,15460774062
477,17,5,12,15242145950
478,20,10,10,15067120065
479,14,11,3,15014145914
480,14,6,8,14877324576
481,17,8,9,17934059814
482,6,3,3,14860301400
483,15,7,8,14917693880
484,15,11,4,14885441227
485,18,9,9,14824940167
486,23,9,14,22881996328
487,20,9,11,16328405790
488,16,10,6,14757640100
489,14,9,5,14832778526
490,12,7,5,14861885493
491,7,4,3,14872745194
492,7,5,2,14853817396
493,14,5,9,16492715265
494,7,1,6,14853170811
495,10,6,4,14849934335
496,7,3,4,21719936478
497,6,2,4,14843936650
498,13,2,11,14909240911
